url,label
https://google.com,0
https://facebook.com,0
https://github.com,0
https://samsung.com,0
https://kbtg.tech,0
https://apple.com,0
https://microsoft.com,0
https://www.instagram.com/,0
https://www.youtube.com/watch?v=6MYB61hUaFg,0
https://www.youtube.com/watch?v=4TAyGi6hKJU,0
https://github.com/kasidish/Ai-phishing-URL,0
http://paypagamento.raspagratuito.cyou,1
http://longyanqm.com,1
http://paypaI-login-secure.xyz,1
http://verify-account-now.top,1
http://csgowebcash.ayd,1
http://slot888.top,1
http://frost-treasury.netlify.app,1
https://frost-treasury.netlify.app/,1
https://yanis-tafiole.mon-pickup-expd.com/as.php,1
